Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
CHICAGO CUBS,Andrelton Simmons,advanced,Pitcher,Handedness,2022,vs L,0.0,9.0,0.0,0.0,0.0%,100.0%,-100.0%,0.0,1.0,0.0,100.0%,6.11,6.11
CHICAGO CUBS,Andrelton Simmons,advanced,Pitcher,Handedness,2022,vs R,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.833,5.0,0.625,0.0%,3.11,9.07
CHICAGO CUBS,Marcus Stroman,advanced,Pitcher,Handedness,2022,vs L,9.64,1.29,7.5,1.29,26.5%,3.5%,23.0%,0.259,1.14,0.32,49.2%,3.25,2.46
CHICAGO CUBS,Marcus Stroman,advanced,Pitcher,Handedness,2022,vs R,6.94,3.47,2.0,1.54,18.0%,9.0%,9.0%,0.222,1.24,0.232,72.6%,4.95,4.51
CHICAGO CUBS,Drew Smyly,advanced,Pitcher,Handedness,2022,vs L,3.75,3.0,1.25,0.75,10.2%,8.2%,2.0%,0.256,1.25,0.263,68.5%,4.61,5.02
CHICAGO CUBS,Drew Smyly,advanced,Pitcher,Handedness,2022,vs R,8.27,1.93,4.29,1.93,21.0%,4.9%,16.1%,0.279,1.38,0.313,79.5%,4.7,3.83
CHICAGO CUBS,Adrian Sampson,advanced,Pitcher,Handedness,2022,vs L,5.11,1.46,3.5,0.73,14.0%,4.0%,10.0%,0.271,1.22,0.3,51.5%,3.51,3.79
CHICAGO CUBS,Adrian Sampson,advanced,Pitcher,Handedness,2022,vs R,9.2,1.84,5.0,1.23,25.0%,5.0%,20.0%,0.211,1.02,0.25,82.0%,3.45,3.51
CHICAGO CUBS,Justin Steele,advanced,Pitcher,Handedness,2022,vs L,12.54,4.34,2.89,0.0,31.7%,11.0%,20.7%,0.264,1.5,0.404,64.3%,1.77,3.05
CHICAGO CUBS,Justin Steele,advanced,Pitcher,Handedness,2022,vs R,7.8,4.21,1.85,0.78,19.8%,10.7%,9.1%,0.242,1.4,0.288,69.3%,3.96,3.94
CHICAGO CUBS,Keegan Thompson,advanced,Pitcher,Handedness,2022,vs L,9.56,4.22,2.27,0.28,25.0%,11.0%,14.0%,0.205,1.22,0.277,83.7%,3.08,4.16
CHICAGO CUBS,Keegan Thompson,advanced,Pitcher,Handedness,2022,vs R,8.0,2.0,4.0,1.2,22.2%,5.6%,16.7%,0.248,1.13,0.292,70.8%,4.0,3.99
CHICAGO CUBS,David Robertson,advanced,Pitcher,Handedness,2022,vs L,12.5,5.5,2.27,0.5,32.9%,14.5%,18.4%,0.143,1.11,0.216,87.4%,3.22,3.33
CHICAGO CUBS,David Robertson,advanced,Pitcher,Handedness,2022,vs R,11.02,3.31,3.33,1.1,30.8%,9.2%,21.5%,0.158,0.92,0.194,90.9%,3.54,3.77
CHICAGO CUBS,Mychal Givens,advanced,Pitcher,Handedness,2022,vs L,10.95,5.84,1.88,2.19,27.8%,14.8%,13.0%,0.217,1.46,0.25,94.2%,5.79,3.47
CHICAGO CUBS,Mychal Givens,advanced,Pitcher,Handedness,2022,vs R,11.35,3.52,3.22,0.78,29.9%,9.3%,20.6%,0.212,1.17,0.291,84.0%,3.15,3.97
CHICAGO CUBS,Chris Martin,advanced,Pitcher,Handedness,2022,vs L,9.42,2.51,3.75,0.63,24.6%,6.6%,18.0%,0.286,1.4,0.366,80.6%,2.76,2.89
CHICAGO CUBS,Chris Martin,advanced,Pitcher,Handedness,2022,vs R,12.21,0.0,19.0,1.93,33.3%,0.0%,33.3%,0.281,1.14,0.371,67.8%,3.18,1.35
CHICAGO CUBS,Scott Effross,advanced,Pitcher,Handedness,2022,vs L,12.34,3.86,3.2,1.54,33.3%,10.4%,22.9%,0.143,0.94,0.16,36.6%,3.88,3.44
CHICAGO CUBS,Scott Effross,advanced,Pitcher,Handedness,2022,vs R,10.0,1.33,7.5,0.0,27.5%,3.7%,23.9%,0.252,1.11,0.347,63.3%,1.33,2.55
CHICAGO CUBS,Rowan Wick,advanced,Pitcher,Handedness,2022,vs L,10.19,5.6,1.82,1.02,23.0%,12.6%,10.3%,0.36,2.15,0.463,65.3%,4.19,3.73
CHICAGO CUBS,Rowan Wick,advanced,Pitcher,Handedness,2022,vs R,7.58,3.32,2.29,0.95,18.0%,7.9%,10.1%,0.291,1.58,0.333,67.4%,4.06,4.57
CHICAGO CUBS,Brandon Hughes,advanced,Pitcher,Handedness,2022,vs L,11.91,2.38,5.0,0.0,30.0%,6.0%,24.0%,0.267,1.32,0.4,82.4%,1.79,2.71
CHICAGO CUBS,Brandon Hughes,advanced,Pitcher,Handedness,2022,vs R,10.8,4.63,2.33,3.09,28.6%,12.2%,16.3%,0.175,1.11,0.125,83.3%,6.97,4.3
CHICAGO CUBS,Daniel Norris,advanced,Pitcher,Handedness,2022,vs L,12.83,5.4,2.38,1.35,33.9%,14.3%,19.6%,0.17,1.2,0.231,28.2%,4.23,3.18
CHICAGO CUBS,Daniel Norris,advanced,Pitcher,Handedness,2022,vs R,13.5,6.43,2.1,3.21,32.8%,15.6%,17.2%,0.226,1.57,0.259,56.3%,7.11,3.96
CHICAGO CUBS,Mark Leiter Jr.,advanced,Pitcher,Handedness,2022,vs L,9.58,2.61,3.67,1.31,27.8%,7.6%,20.3%,0.194,0.97,0.229,63.3%,3.74,3.01
CHICAGO CUBS,Mark Leiter Jr.,advanced,Pitcher,Handedness,2022,vs R,8.79,4.4,2.0,1.88,20.0%,10.0%,10.0%,0.288,1.67,0.326,70.2%,5.97,4.91
CHICAGO CUBS,Frank Schwindel,advanced,Pitcher,Handedness,2022,vs L,0.0,6.75,0.0,13.5,0.0%,11.1%,-11.1%,0.5,3.75,0.333,45.5%,24.86,10.95
CHICAGO CUBS,Frank Schwindel,advanced,Pitcher,Handedness,2022,vs R,0.0,0.0,0.0,10.8,0.0%,0.0%,0.0%,0.444,2.4,0.286,100.0%,18.71,8.48
CHICAGO CUBS,Kyle Hendricks,advanced,Pitcher,Handedness,2022,vs L,7.74,3.35,2.31,2.51,19.3%,8.3%,10.9%,0.291,1.53,0.304,74.2%,6.27,4.86
CHICAGO CUBS,Kyle Hendricks,advanced,Pitcher,Handedness,2022,vs R,6.31,1.74,3.63,0.65,17.7%,4.9%,12.8%,0.226,1.04,0.26,72.9%,3.3,4.05
CHICAGO CUBS,Wade Miley,advanced,Pitcher,Handedness,2022,vs L,7.88,0.0,7.0,0.0,23.3%,0.0%,23.3%,0.172,0.63,0.227,66.7%,1.73,3.04
